                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  1.321,                0.86499,                0.96369,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.017415,              0.0014146,              0.0014146
                     85,                 1.2108,                0.74036,                  1.035,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.016347,              0.0013473,              0.0013473
                     86,                 1.1741,                0.77068,                0.97325,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.015278,               0.001278,               0.001278
                     87,                  1.327,                0.83524,                 0.9574,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.014207,              0.0012067,              0.0012067
                     88,                 1.2189,                0.74456,                0.94055,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.013133,              0.0011334,              0.0011334
                     89,                 1.2335,                0.83059,                0.97208,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,               0.012058,              0.0010582,              0.0010582
                     90,                 1.3462,                0.97926,                 1.1564,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,               0.010981,               0.000981,               0.000981
                     91,                 1.2192,                0.77087,                 0.9982,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0099018,             0.00090181,             0.00090181
                     92,                 1.3043,                0.83802,                 1.1284,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0088206,             0.00082064,             0.00082064
                     93,                 1.1511,                0.80052,                 1.0552,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0077375,             0.00073749,             0.00073749
                     94,                 1.3207,                0.94477,                 1.0827,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0066524,             0.00065236,             0.00065236
                     95,                 1.1976,                0.81327,                 1.0581,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0055653,             0.00056525,             0.00056525
                     96,                 1.2772,                0.87097,                  1.025,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0044762,             0.00047616,             0.00047616
                     97,                 1.1846,                0.79751,                 0.9833,                0.51176,                0.18391,                0.19341,                0.08458,                 1.8916,                 1.8702,                0.95558,              0.0033851,             0.00038509,             0.00038509
                     98,                 1.2776,                 1.0467,                 1.1483,                0.51773,                 0.1954,                0.19237,                0.08334,                 1.8818,                 1.8556,                0.95085,               0.002292,             0.00029204,             0.00029204
                     99,                 1.2623,                0.84573,                 1.0518,                0.51773,                 0.1954,                0.19237,                0.08334,                 1.8818,                 1.8556,                0.95085,               0.001197,             0.00019701,             0.00019701
